year,country,heavy_kbbl_yr,n_shipments,share_of_year_heavy_pct
1986,Algeria,2.0,1,0.000926951580684183
1986,Australia,1.0,1,0.0004634757903420915
1986,Benin,407.0,1,0.18863464666923124
1986,Cameroon,484.0,1,0.22432228252557226
1986,Canada,1781.0,6,0.825450382599265
1986,"China, Peoples Rep",363.0,1,0.16824171189417922
1986,Egypt,198.0,1,0.09176820648773411
1986,Gabon,1.0,1,0.0004634757903420915
1986,Guatemala,369.0,2,0.17102256663623175
1986,Indonesia,7598.0,36,3.5214890550192113
1986,Iran,1230.0,1,0.5700752221207726
1986,Kuwait,1003.0,4,0.46486621771311776
1986,Mexico,108397.0,242,50.23938524571169
1986,Nigeria,2282.0,6,1.0576517535606527
1986,Peru,1119.0,3,0.5186294093928003
1986,Saudi Arabia,3798.0,10,1.7602810517192635
1986,Trinidad & Tobago,799.0,4,0.3703171564833311
1986,United Kingdom,577.0,3,0.2674255310273868
1986,Venezuela,85352.0,215,39.55858565727819
1987,Abu Zaby,1977.0,2,0.7801186159109473
1987,Algeria,240.0,1,0.09470332211362031
1987,Angola,733.0,1,0.2892397296220154
1987,Benin,717.0,2,0.28292617481444066
1987,Cameroon,3592.0,7,1.4173930543005173
1987,Canada,1122.0,3,0.44273803088117497
1987,Egypt,1320.0,4,0.5208682716249117
1987,Gabon,1.0,1,0.00039459717547341797
1987,Guatemala,440.0,2,0.1736227572083039
1987,Indonesia,917.0,5,0.3618456099091243
1987,Mexico,121931.0,302,48.11362820264932
1987,Nigeria,2978.0,8,1.1751103885598386
1987,Saudi Arabia,9275.0,36,3.6598888025159515
1987,Syria,544.0,2,0.21466086345753937
1987,Trinidad & Tobago,896.0,5,0.3535590692241825
1987,Venezuela,106740.0,253,42.11930251003263
1988,Algeria,365.0,1,0.15111994369229495
1988,Benin,313.0,1,0.12959052705668034
1988,Canada,3510.0,14,1.4532356229039871
1988,Congo (Brazzaville),315.0,1,0.1304185815426655
1988,Egypt,888.0,2,0.36765619177741893
1988,Guatemala,663.0,3,0.27450006210408645
1988,Indonesia,59.0,1,0.024427607336562747
1988,Italy,351.0,1,0.1453235622903987
1988,Mexico,137936.0,310,57.109261789425744
1988,Neutral Zone,1643.0,5,0.6802467602368236
1988,Nigeria,6903.0,14,2.858030058377841
1988,Saudi Arabia,2792.0,9,1.1559640624353082
1988,Trinidad & Tobago,795.0,4,0.3291516581791082
1988,Venezuela,84997.0,205,35.19107357264108
1989,Angola,1484.0,3,0.6307029958392303
1989,Argentina,394.0,2,0.1674507953912781
1989,Benin,690.0,2,0.2932513929441165
1989,Cameroon,1009.0,2,0.4288270369284254
1989,Colombia,416.0,1,0.17680083980398906
1989,Congo (Brazzaville),1403.0,2,0.5962778323197035
1989,Egypt,518.0,1,0.22015104571746716
1989,Gabon,398.0,1,0.16915080346631647
1989,Guatemala,437.0,2,0.18572588219794045
1989,Indonesia,2099.0,5,0.8920792373763775
1989,Kuwait,410.0,1,0.17425082769143155
1989,Mexico,134271.0,283,57.06544606086879
1989,Nigeria,8840.0,22,3.757017845834768
1989,Saudi Arabia,2868.0,9,1.2189057898025015
1989,Trinidad & Tobago,221.0,1,0.09392544614586919
1989,Venezuela,79835.0,181,33.930036167671794
1990,Algeria,306.0,2,0.12138136756340788
1990,Angola,1632.0,4,0.6473672936715087
1990,Argentina,2145.0,7,0.8508595863513395
1990,Benin,1060.0,3,0.4204714039778181
1990,Cameroon,500.0,1,0.19833556791406518
1990,Canada,1673.0,6,0.663630810240462
1990,"China, Peoples Rep",2347.0,4,0.9309871557886219
1990,Colombia,1274.0,3,0.505359027045038
1990,Congo (Brazzaville),3584.0,7,1.4216693508080191
1990,Guatemala,662.0,3,0.26259629191822226
1990,Indonesia,2699.0,6,1.0706153956001239
1990,Mexico,135403.0,281,53.71046180453633
1990,Nigeria,8324.0,19,3.301890534633357
1990,Saudi Arabia,499.0,3,0.19793889677823703
1990,Trinidad & Tobago,202.0,1,0.08012756943728233
1990,Tunisia,314.0,1,0.12455473665003293
1990,Venezuela,89474.0,184,35.491753207086134
1991,Algeria,368.0,2,0.13722433942142043
1991,Angola,550.0,1,0.20509072467875333
1991,Argentina,1129.0,3,0.4209953239314773
1991,Benin,595.0,2,0.22187087487974225
1991,Canada,3151.0,6,1.1749834062959124
1991,Colombia,1990.0,2,0.7420555311103985
1991,Congo (Brazzaville),3582.0,4,1.3356999559987173
1991,Guatemala,1429.0,6,0.5328629919380701
1991,Indonesia,2086.0,6,0.7778531848725081
1991,Mexico,137342.0,251,51.213764197871534
1991,Nigeria,6436.0,8,2.399934370968103
1991,Saudi Arabia,5736.0,5,2.138909812286053
1991,Syria,1003.0,3,0.3740109033687084
1991,Trinidad & Tobago,537.0,3,0.200243125731801
1991,Venezuela,102240.0,210,38.1245012566468
1992,Algeria,499.0,2,0.15891669134811673
1992,Angola,635.0,1,0.20222865532275375
1992,Argentina,5004.0,13,1.593625498007968
1992,Benin,501.0,2,0.15955363199480257
1992,Colombia,2895.0,5,0.9219715860777513
1992,Congo (Brazzaville),5252.0,12,1.672606138197012
1992,Ecuador,179.0,1,0.057006187878382554
1992,Egypt,2205.0,4,0.702227062971137
1992,Guatemala,1869.0,9,0.5952210343279162
1992,Indonesia,701.0,1,0.22324769666338642
1992,Mexico,150749.0,275,48.00908277362174
1992,Nigeria,5292.0,7,1.6853449511307288
1992,Peru,205.0,1,0.06528641628529845
1992,Saudi Arabia,4439.0,10,1.4136897653192186
1992,Venezuela,133576.0,293,42.539991910853786
1993,Algeria,1784.0,9,0.4429348905573432
1993,Argentina,2669.0,7,0.6626643626107337
1993,Benin,886.0,4,0.2199777539427164
1993,Cameroon,1814.0,3,0.45038334723711915
1993,Colombia,8284.0,18,2.0567671711754656
1993,Congo (Brazzaville),2208.0,5,0.54820641163151
1993,Egypt,5870.0,14,1.4574146903428276
1993,Former U.S.S.R.,1557.0,3,0.38657490168037184
1993,Gabon,1315.0,4,0.3264906844635125
1993,Guatemala,2092.0,10,0.5194057124697096
1993,Kuwait,1693.0,4,0.4203412386286895
1993,Mexico,163970.0,271,40.71078139276209
1993,Nigeria,3232.0,6,0.8024470663011958
1993,Saudi Arabia,5931.0,18,1.4725598855917055
1993,Syria,4643.0,11,1.1527728121399912
1993,Trinidad & Tobago,612.0,3,0.1519485162674294
1993,United Kingdom,165.0,1,0.040966511738767725
1993,Venezuela,194043.0,437,48.177362650458825
1994,Algeria,931.0,4,0.2138931774739009
1994,Argentina,7548.0,17,1.734119982355536
1994,Benin,500.0,2,0.11487281282164388
1994,Cameroon,646.0,2,0.1484156741655639
1994,Canada,251.0,1,0.057666152036465225
1994,Colombia,6130.0,13,1.408340685193354
1994,Congo (Brazzaville),959.0,2,0.22032605499191296
1994,Ecuador,668.0,2,0.15347007792971623
1994,Egypt,6688.0,12,1.5365387443023084
1994,Guatemala,1901.0,8,0.43674643434789
1994,Mexico,185942.0,329,42.71936112336421
1994,Nigeria,3054.0,7,0.7016431407146008
1994,Saudi Arabia,2198.0,4,0.5049808851639465
1994,Syria,500.0,1,0.11487281282164388
1994,Trinidad & Tobago,701.0,4,0.1610516835759447
1994,United Kingdom,5638.0,12,1.2953058373768565
1994,Venezuela,211009.0,464,48.4783947213645
1995,Argentina,13237.0,32,2.9107149139781163
1995,Benin,446.0,2,0.09807198395665483
1995,Chile,787.0,2,0.17305527213876087
1995,Colombia,4429.0,9,0.9739031770045385
1995,Congo (Brazzaville),2627.0,8,0.5776571790451395
1995,Ecuador,8265.0,24,1.817410195968054
1995,Egypt,6911.0,15,1.5196759666467297
1995,Guatemala,2784.0,10,0.6121802765366077
1995,Kuwait,1005.0,2,0.22099180241353833
1995,Mexico,183525.0,287,40.35574182880062
1995,Nigeria,2363.0,6,0.5196056010977026
1995,Norway,3007.0,6,0.6612162685149351
1995,Peru,4321.0,10,0.9501548042078598
1995,Saudi Arabia,1762.0,5,0.38745030433099953
1995,Singapore,406.0,1,0.08927629032825529
1995,Spain,142.0,1,0.03122471238081835
1995,Trinidad & Tobago,30.0,1,0.006596770221299651
1995,United Kingdom,2500.0,6,0.5497308517749709
1995,Venezuela,216221.0,479,47.5453418006544
1996,Argentina,15880.0,36,2.9099171736421607
1996,Benin,634.0,3,0.11617679396027267
1996,Canada,651.0,2,0.11929194458696768
1996,Colombia,3778.0,8,0.6922964157443378
1996,Congo (Brazzaville),7498.0,6,1.37396467052701
1996,Ecuador,15261.0,39,2.79648904199956
1996,Egypt,1373.0,3,0.2515942241442498
1996,Guatemala,4311.0,11,0.7899655500989519
1996,Iraq,423.0,1,0.07751227735835227
1996,Kuwait,3500.0,9,0.6413545407901488
1996,Mexico,243735.0,330,44.663013999853405
1996,Nigeria,1276.0,3,0.2338195411566371
1996,Norway,1514.0,5,0.27743164993036723
1996,Peru,4371.0,10,0.8009601993696401
1996,Russia,429.0,1,0.0786117422854211
1996,Saudi Arabia,3994.0,10,0.7318771531188155
1996,Spain,311.0,1,0.05698893205306751
1996,Trinidad & Tobago,350.0,2,0.06413545407901487
1996,United Kingdom,2901.0,7,0.5315912922377776
1996,Venezuela,233530.0,546,42.79300740306384
1997,Argentina,8505.0,24,1.4243606705632128
1997,Benin,440.0,2,0.07368826514377586
1997,Colombia,7993.0,17,1.3386143256686374
1997,Congo (Brazzaville),4137.0,4,0.6928371656813652
1997,Ecuador,12369.0,22,2.0714776171894624
1997,Egypt,2480.0,7,0.41533385808310025
1997,Gabon,1921.0,2,0.32171626668453046
1997,Guatemala,6121.0,12,1.0251042521478455
1997,Kuwait,3188.0,8,0.5339049756326305
1997,Malaysia,266.0,1,0.04454790574600995
1997,Mexico,281296.0,369,47.10957779973539
1997,Nigeria,520.0,1,0.08708613153355328
1997,Norway,1617.0,1,0.27080437440337624
1997,Peru,4919.0,13,0.8238013096414396
1997,Russia,955.0,4,0.15993703002796805
1997,Saudi Arabia,3234.0,9,0.5416087488067525
1997,United Kingdom,3901.0,8,0.6533134598315218
1997,Venezuela,253248.0,590,42.412285843479424
1998,Angola,290.0,1,0.04693224925232072
1998,Argentina,11910.0,31,1.9274589261901371
1998,Azerbaijan,226.0,1,0.03657478734836028
1998,Brunei,2802.0,4,0.4534626289827678
1998,Canada,1039.0,3,0.16814692059710767
1998,Colombia,2293.0,3,0.37108843977783246
1998,Congo (Brazzaville),3684.0,4,0.5962014008467225
1998,Ecuador,2950.0,9,0.4774142596356763
1998,Guatemala,8311.0,12,1.345013529434612
1998,Kuwait,11698.0,21,1.8931498336332682
1998,Mexico,273151.0,367,44.205485570760885
1998,Nigeria,1904.0,4,0.3081344916428229
1998,Norway,525.0,1,0.08496355468092544
1998,Peru,4134.0,12,0.6690273048589443
1998,Saudi Arabia,31429.0,62,5.08632297155582
1998,United Kingdom,3390.0,8,0.5486218102254042
1998,Venezuela,258176.0,593,41.78200132057639
1999,Algeria,1274.0,6,0.23447090370681198
1999,Angola,500.0,1,0.0920215477656248
1999,Argentina,15690.0,39,2.8876361688853063
1999,Benin,202.0,1,0.03717670529731242
1999,Brunei,7441.0,13,1.3694646738480283
1999,Canada,370.0,1,0.06809594534656235
1999,Colombia,7983.0,16,1.4692160316259655
1999,Congo (Brazzaville),7435.0,7,1.3683604152748408
1999,Ecuador,729.0,2,0.13416741664228096
1999,Egypt,1066.0,2,0.19618993983631208
1999,Guatemala,7632.0,13,1.404616905094497
1999,Iraq,4769.0,11,0.8777015225885293
1999,Kuwait,14396.0,31,2.649484403267869
1999,Mexico,242212.0,390,44.57744625481503
1999,Nigeria,2916.0,8,0.5366696665691238
1999,Norway,1268.0,2,0.23336664513362448
1999,Peru,1735.0,5,0.31931477074671805
1999,Russia,3963.0,10,0.7293627875903421
1999,Saudi Arabia,11103.0,22,2.0434304896834643
1999,Syria,687.0,2,0.12643760662996847
1999,United Kingdom,16473.0,32,3.031741912686275
1999,Venezuela,193507.0,437,35.61362728696552
2000,Angola,2159.0,4,0.3340000959148029
2000,Argentina,3829.0,10,0.5923512585723855
2000,Brazil,915.0,2,0.14155168492915454
2000,Brunei,1019.0,3,0.15764061960962675
2000,Colombia,10182.0,22,1.5751685857362312
2000,Congo (Brazzaville),4574.0,6,0.7076037233507682
2000,Ecuador,723.0,2,0.11184903628828277
2000,Guatemala,6735.0,11,1.0419132218555802
2000,Kuwait,21569.0,45,3.3367522319529335
2000,Mexico,277856.0,435,42.9846830247816
2000,Nigeria,656.0,3,0.10148404952297856
2000,Norway,10141.0,18,1.5688258326410451
2000,Russia,1606.0,5,0.248450279777292
2000,Saudi Arabia,8709.0,19,1.347293578194543
2000,United Kingdom,38906.0,59,6.018808583446652
2000,Venezuela,256828.0,529,39.73162419342612
2001,Algeria,1193.0,3,0.153413876690221
2001,Argentina,2506.0,6,0.3222591575739261
2001,Brazil,3459.0,7,0.4448102258771789
2001,Brunei,418.0,2,0.05375272460730291
2001,Colombia,12879.0,29,1.65617545506568
2001,Ecuador,3636.0,10,0.4675715470625679
2001,Guatemala,6485.0,12,0.8339388016228694
2001,Indonesia,73.0,1,0.009387437551036154
2001,Iraq,966.0,2,0.12422280375754692
2001,Kuwait,20211.0,48,2.599034251287558
2001,Mexico,355453.0,438,45.70949095655417
2001,Nigeria,3201.0,7,0.4116327068611881
2001,Norway,11297.0,27,1.4527381097815812
2001,Saudi Arabia,2914.0,7,0.374725931831772
2001,United Kingdom,20625.0,36,2.6522725957550777
2001,Venezuela,332319.0,572,42.73457341812033
2002,Algeria,389.0,1,0.04773644573323303
2002,Angola,12984.0,31,1.5933419316203026
2002,Argentina,2768.0,6,0.33967733107863507
2002,Brazil,9854.0,20,1.2092414813760368
2002,Canada,344.0,1,0.042214234787229216
2002,Colombia,12085.0,25,1.4830204284990263
2002,Ecuador,1253.0,3,0.1537628958965064
2002,Guatemala,8401.0,14,1.0309354257195134
2002,Iraq,875.0,2,0.1073763239500743
2002,Kuwait,19036.0,46,2.3360179459584165
2002,Mexico,414071.0,475,50.813053524949964
2002,Nigeria,886.0,4,0.10872619773687524
2002,Norway,4494.0,8,0.5514847998075816
2002,Peru,1019.0,3,0.12504739897728653
2002,Russia,4605.0,9,0.565106253474391
2002,Saudi Arabia,5610.0,14,0.6884356312684764
2002,Syria,498.0,2,0.06111246780244229
2002,Trinidad & Tobago,383.0,1,0.04700015094043252
2002,United Kingdom,16898.0,33,2.073651568123835
2002,Venezuela,298438.0,543,36.62305756229974
2003,Angola,10185.0,21,1.2188744230242208
2003,Argentina,201.0,1,0.024054370056737197
2003,Brazil,7386.0,16,0.88390834447294
2003,Canada,459.0,2,0.05493012863702674
2003,Colombia,12279.0,25,1.4694706961526172
2003,Congo (Brazzaville),536.0,2,0.06414498681796586
2003,Ecuador,8363.0,21,1.0008293372362844
2003,Equatorial Guinea,4845.0,11,0.5798180245019489
2003,Guatemala,8027.0,15,0.9606190469921865
2003,Iraq,1894.0,4,0.22666157655452862
2003,Kuwait,12293.0,32,1.471146124912788
2003,Mexico,461936.0,538,55.28148998273112
2003,Nigeria,3595.0,6,0.43022617091527476
2003,Norway,2607.0,4,0.31198876984036755
2003,Peru,348.0,1,0.041646372038530076
2003,Russia,997.0,2,0.11931446242073128
2003,Saudi Arabia,9650.0,17,1.1548491096891242
2003,Syria,1425.0,6,0.1705347130888085
2003,United Kingdom,21645.0,37,2.590332536706849
2003,Venezuela,266936.0,453,31.945160823209953
2004,Algeria,387.0,1,0.04201384176957525
2004,Angola,3725.0,8,0.4043967973944904
2004,Argentina,2897.0,7,0.3145067173293527
2004,Brazil,5306.0,12,0.5760347401275614
2004,Cameroon,1178.0,3,0.12788709458542544
2004,Canada,354.0,2,0.03843126611480527
2004,Chad,12423.0,28,1.3486768896729542
2004,Colombia,14498.0,32,1.5739449043289455
2004,Ecuador,24103.0,59,2.616691545664269
2004,Equatorial Guinea,7168.0,16,0.778178857375492
2004,Guatemala,6699.0,13,0.7272628579183065
2004,Iraq,2580.0,5,0.280092278463835
2004,Kuwait,16739.0,39,1.8172343601574161
2004,Libya,1304.0,3,0.141566019812729
2004,Mexico,471524.0,558,51.1900122133261
2004,Nigeria,3951.0,8,0.42893201248473334
2004,Norway,896.0,2,0.0972723571719365
2004,Qatar,727.0,2,0.078925227303569
2004,Russia,6587.0,18,0.7151038132718144
2004,Saudi Arabia,5796.0,11,0.6292305604559641
2004,Syria,501.0,1,0.054390012213326094
2004,United Kingdom,15958.0,27,1.73244673632786
2004,Venezuela,315824.0,548,34.28676889672954
2005,Algeria,384.0,1,0.0445608493483556
2005,Angola,1379.0,3,0.16002450846714159
2005,Argentina,2486.0,6,0.288485081979198
2005,Bolivia,18.0,1,0.0020887898132041687
2005,Brazil,14759.0,31,1.712691602948907
2005,Canada,3385.0,13,0.39280852876089506
2005,Chad,4753.0,11,0.5515565545644119
2005,Colombia,12021.0,25,1.3949634635848507
2005,Cote D'Ivoire(Ivory Coast),1003.0,2,0.11639201014687674
2005,Ecuador,24766.0,60,2.8739426952119134
2005,Egypt,515.0,1,0.059762597433341495
2005,Equatorial Guinea,1514.0,4,0.17569043206617285
2005,Guatemala,3885.0,9,0.4508304680165664
2005,Kuwait,15048.0,38,1.7462282838386851
2005,Mexico,459386.0,625,53.30893317381168
2005,Nigeria,3382.0,10,0.392460397125361
2005,Norway,2135.0,5,0.24775368062171668
2005,Russia,9568.0,23,1.110307829596527
2005,Saudi Arabia,16349.0,20,1.8972013697819419
2005,United Kingdom,11468.0,27,1.3307911987680783
2005,Venezuela,273539.0,387,31.742526484114173
2006,Angola,996.0,1,0.11216052017256505
2006,Argentina,479.0,1,0.053940651769737606
2006,Australia,575.0,1,0.06475130431649086
2006,Brazil,24768.0,54,2.78914835706234
2006,Cameroon,150.0,1,0.016891644604301963
2006,Canada,12106.0,30,1.3632683305311972
2006,Chad,7934.0,19,0.8934553886035452
2006,"China, Peoples Rep",208.0,1,0.02342308051796539
2006,Colombia,14249.0,31,1.6045936264446579
2006,Cote D'Ivoire(Ivory Coast),992.0,2,0.11171007631645032
2006,Ecuador,17679.0,44,1.9908492330630294
2006,Equatorial Guinea,446.0,2,0.05022448995679117
2006,Gabon,476.0,1,0.053602818877651566
2006,Guatemala,5049.0,20,0.5685727573808042
2006,Kuwait,15721.0,42,1.7703569654948745
2006,Mexico,462361.0,753,52.0669179392644
2006,Nigeria,1552.0,3,0.17477221617251099
2006,Norway,4722.0,10,0.5317489721434259
2006,Peru,363.0,1,0.04087777994241075
2006,Russia,753.0,2,0.08479605591359586
2006,Saudi Arabia,11332.0,15,1.276107444372999
2006,Syria,1178.0,3,0.13265571562578476
2006,United Kingdom,6795.0,13,0.765191500574879
2006,Venezuela,297129.0,417,33.45998313087759
2007,Angola,3531.0,9,0.39709851551956815
2007,Argentina,5977.0,12,0.6721772379667117
2007,Brazil,28979.0,61,3.2589968511021143
2007,Cameroon,537.0,1,0.06039136302294197
2007,Canada,24982.0,71,2.8094916779127304
2007,Chad,10395.0,27,1.1690283400809716
2007,Colombia,15269.0,32,1.717161493477283
2007,Cote D'Ivoire(Ivory Coast),10.0,1,0.0011246063877642825
2007,Ecuador,12787.0,29,1.438034188034188
2007,Guatemala,3975.0,15,0.4470310391363023
2007,Iraq,1087.0,3,0.12224471434997751
2007,Kuwait,14562.0,40,1.6376518218623481
2007,Mexico,432764.0,687,48.668915879442196
2007,Nigeria,6906.0,10,0.7766531713900134
2007,Norway,1641.0,4,0.18454790823211875
2007,Russia,5527.0,15,0.6215699505173189
2007,Saudi Arabia,5810.0,12,0.6533963112910481
2007,Syria,627.0,1,0.07051282051282051
2007,United Kingdom,7694.0,16,0.865272154745839
2007,Venezuela,306140.0,473,34.428699955015745
2008,Algeria,1047.0,1,0.1275132719759442
2008,Angola,4245.0,12,0.5169950711918655
2008,Argentina,3335.0,7,0.4061669169434326
2008,Australia,2772.0,10,0.33759960832599556
2008,Brazil,37267.0,87,4.5387173894245585
2008,Cameroon,585.0,3,0.07124667058827829
2008,Canada,34362.0,111,4.184919820093023
2008,Chad,9790.0,25,1.1923160770243493
2008,Colombia,29144.0,67,3.5494238762816788
2008,Ecuador,14017.0,34,1.7071189429673446
2008,Egypt,2065.0,6,0.25149465771759766
2008,Equatorial Guinea,577.0,3,0.07027235714433601
2008,Guatemala,5144.0,24,0.6264835444548777
2008,Iraq,2010.0,3,0.2447962527904946
2008,Kuwait,20058.0,53,2.442847382324249
2008,Mexico,369331.0,585,44.98051982058018
2008,Nigeria,3258.0,5,0.39678915004548826
2008,Norway,24.0,2,0.002922940331826801
2008,Peru,1049.0,3,0.12775685033692977
2008,Russia,545.0,5,0.06637510336856695
2008,Saudi Arabia,2007.0,4,0.24443088524901624
2008,Trinidad & Tobago,76.0,1,0.009255977717451538
2008,United Kingdom,6763.0,13,0.823660227672694
2008,Venezuela,271620.0,426,33.08037720544982
2009,Algeria,1319.0,4,0.1566071227151567
2009,Angola,8429.0,26,1.00078956585751
2009,Argentina,6867.0,14,0.8153306381235641
2009,Bolivia,69.0,1,0.008192487844841403
2009,Brazil,44828.0,99,5.322505001573195
2009,Canada,35135.0,133,4.171638556934822
2009,Chad,12058.0,26,1.4316669338130095
2009,Colombia,61100.0,132,7.254507352461012
2009,Ecuador,13721.0,33,1.629117764044477
2009,Egypt,1050.0,2,0.12466829329106485
2009,Guatemala,4474.0,18,0.5312056611278325
2009,Indonesia,523.0,1,0.06209668322973992
2009,Kuwait,12181.0,32,1.4462709338842485
2009,Malaysia,975.0,1,0.11576341519884593
2009,Mexico,346781.0,527,41.17390039597024
2009,Nigeria,2330.0,7,0.2766448793982677
2009,Norway,1910.0,5,0.22677756208184177
2009,Peru,353.0,1,0.04191229288737704
2009,Russia,10073.0,27,1.1959844936389488
2009,Saudi Arabia,2742.0,7,0.32556234305152365
2009,Syria,539.0,2,0.06399639055607996
2009,United Kingdom,4632.0,9,0.5499652709754403
2009,Venezuela,270146.0,511,32.07489596134096
2010,Algeria,1047.0,3,0.11878559597013909
2010,Angola,5707.0,11,0.647477933334846
2010,Argentina,2589.0,6,0.2937305711238683
2010,Australia,692.0,2,0.07850967756574619
2010,Brazil,45363.0,106,5.146581652333734
2010,Cameroon,599.0,2,0.06795852147670804
2010,Canada,42557.0,263,4.82823171700211
2010,Chad,6129.0,12,0.6953552222549976
2010,Colombia,83210.0,182,9.44044836740714
2010,Congo (Brazzaville),481.0,1,0.054571033105670394
2010,Ecuador,10659.0,29,1.2092986317533072
2010,Egypt,1620.0,4,0.18379433187356764
2010,Gabon,649.0,2,0.07363118604070704
2010,Guatemala,3984.0,15,0.45199791245944043
2010,Iraq,216.0,1,0.024505910916475686
2010,Kuwait,15078.0,41,1.7106487259195389
2010,Mexico,327301.0,483,37.13337568922874
2010,Nigeria,367.0,1,0.041637357899752675
2010,Norway,2220.0,10,0.2518663066415557
2010,Russia,18560.0,53,2.1056930861564296
2010,Saudi Arabia,2004.0,4,0.22736039572508
2010,United Kingdom,7661.0,17,0.869165664495927
2010,Venezuela,302727.0,524,34.34537450931452
2011,Angola,7393.0,22,0.8534330101839389
2011,Argentina,501.0,1,0.057834429609380955
2011,Brazil,56776.0,145,6.5541069371301655
2011,Canada,48286.0,317,5.5740384593185
2011,Chad,16939.0,34,1.955403998309988
2011,Colombia,99800.0,243,11.520710728575288
2011,Congo (Brazzaville),1070.0,2,0.1235186420799154
2011,Congo (Kinshasa),974.0,2,0.1124365956876987
2011,Ecuador,3819.0,10,0.44085765804037097
2011,Gabon,982.0,2,0.11336009955371676
2011,Guatemala,3292.0,14,0.3800218408664313
2011,Iraq,1019.0,1,0.11763130493405027
2011,Kuwait,12979.0,42,1.4982695846310488
2011,Mexico,304556.0,509,35.157330427374504
2011,Nigeria,1428.0,3,0.16484544008422355
2011,Norway,605.0,2,0.06983997986761573
2011,Peru,357.0,1,0.04121136002105589
2011,Russia,9402.0,25,1.085347918537724
2011,Saudi Arabia,4287.0,12,0.49488263420242745
2011,Syria,1076.0,2,0.12421126997942895
2011,Trinidad & Tobago,601.0,1,0.06937822793460668
2011,United Kingdom,6488.0,13,0.748961635340646
2011,Venezuela,283636.0,469,32.742367817737275
2012,Angola,12562.0,27,1.5177051505563026
2012,Australia,1034.0,2,0.12492494234001089
2012,Brazil,50881.0,137,6.147297863831813
2012,Canada,43920.0,460,5.306289620477059
2012,Chad,7552.0,14,0.9124111842860371
2012,Colombia,96619.0,232,11.673233079254848
2012,Congo (Brazzaville),523.0,1,0.06318737412362253
2012,Cote D'Ivoire(Ivory Coast),994.0,1,0.12009225598256366
2012,Ecuador,8255.0,23,0.9973456470181721
2012,Egypt,1024.0,2,0.12371677075064909
2012,Gabon,315.0,1,0.03805740506489694
2012,Guatemala,3502.0,14,0.423101690594505
2012,Iraq,207.0,3,0.025009151899789417
2012,Kuwait,15438.0,48,1.8651752996567585
2012,Mexico,267437.0,389,32.31097853441537
2012,Nigeria,4317.0,7,0.5215676751274924
2012,Peru,362.0,1,0.04373581153489743
2012,Russia,2293.0,7,0.27703374544066245
2012,Saudi Arabia,4275.0,14,0.5164933544521727
2012,United Kingdom,4558.0,9,0.5506846104311118
2012,Venezuela,301191.0,524,36.38904091714722
2012,Vietnam,438.0,1,0.05291791561404717
2013,Angola,15507.0,32,1.9868186046273257
2013,Argentina,2022.0,4,0.2590666936581191
2013,Brazil,29776.0,77,3.815019718280986
2013,Canada,42229.0,416,5.4105476787777995
2013,Chad,10833.0,22,1.3879671080110803
2013,Colombia,95597.0,248,12.24826840436954
2013,Ecuador,18505.0,49,2.3709343057089485
2013,Egypt,513.0,1,0.06572760328714891
2013,Guatemala,2479.0,10,0.31761935389637846
2013,Iraq,1140.0,3,0.1460613406381087
2013,Kuwait,17916.0,57,2.2954692797125924
2013,Mexico,250657.0,390,32.11517321081264
2013,Netherlands,503.0,1,0.06444636345699006
2013,Nigeria,1256.0,2,0.16092372266795132
2013,Norway,231.0,1,0.02959664007666939
2013,Russia,554.0,2,0.07098068659080019
2013,Saudi Arabia,27358.0,29,3.505215927348577
2013,United Kingdom,5235.0,10,0.670729051088157
2013,Venezuela,258183.0,458,33.07943430699019
2014,Angola,8481.0,15,1.0910031156815778
2014,Argentina,1634.0,3,0.21019916177617004
2014,Australia,578.0,1,0.07435441585472845
2014,Brazil,42236.0,98,5.433275273426143
2014,Canada,67745.0,639,8.714774917090967
2014,Chad,7647.0,16,0.9837166402095302
2014,Colombia,64947.0,152,8.354837796742299
2014,Ecuador,25737.0,61,3.3108297592614986
2014,Guatemala,1730.0,6,0.22254868413266474
2014,Iraq,2028.0,7,0.26088365978095035
2014,Kuwait,16739.0,46,2.1533193200558816
