month,total,heavy,medium,light,heavy_pct,n_shipments,source_file
1986-01-01,54050,16809,22663,14578,31.098982423681775,133,impa86d.xls
1986-02-01,35449,10534,17149,7766,29.71592992750148,88,impa86d.xls
1986-03-01,40874,11157,21128,8589,27.296080638058424,98,impa86d.xls
1986-04-01,48764,15531,25731,7502,31.84931506849315,111,impa86d.xls
1986-05-01,63938,19165,29395,15378,29.97435015170947,134,impa86d.xls
1986-06-01,69068,18630,30252,20186,26.973417501592632,150,impa86d.xls
1986-07-01,73759,21666,32061,20032,29.374042489730066,151,impa86d.xls
1986-08-01,75890,19513,31923,24454,25.712215048095928,153,impa86d.xls
1986-09-01,77605,21756,27474,28375,28.03427614200116,161,impa86d.xls
1986-10-01,70866,19778,29532,21556,27.909011373578302,157,impa86d.xls
1986-11-01,71555,21656,30290,19609,30.26483124868982,150,impa86d.xls
1986-12-01,71027,19566,36607,14854,27.547270756191306,142,impa86d.xls
1987-01-01,77697,21756,36544,19397,28.001081122823276,162,impa87d.xls
1987-02-01,54207,16448,24817,12942,30.342944638146363,118,impa87d.xls
1987-03-01,56010,19374,26526,10110,34.59025174076058,125,impa87d.xls
1987-04-01,55744,19839,21804,14101,35.589480482204365,119,impa87d.xls
1987-05-01,58774,21870,18166,18738,37.210331098785176,132,impa87d.xls
1987-06-01,70284,21774,33018,15492,30.980023903022026,168,impa87d.xls
1987-07-01,83895,21517,43353,19025,25.647535609988676,187,impa87d.xls
1987-08-01,85412,23229,43558,18625,27.196412682058728,187,impa87d.xls
1987-09-01,80848,23046,38196,19606,28.50534336037997,182,impa87d.xls
1987-10-01,85281,23219,40265,21797,27.2264631043257,196,impa87d.xls
1987-11-01,83551,20692,44440,18419,24.765711960359543,179,impa87d.xls
1987-12-01,71612,20659,38546,12407,28.848517008322627,161,impa87d.xls
1988-01-01,76900,23015,40327,13558,29.92847854356307,169,impa88d.xls
1988-02-01,69874,19811,36636,13427,28.35246300483728,135,impa88d.xls
1988-03-01,75066,22226,37445,15395,29.60861108890843,175,impa88d.xls
1988-04-01,82981,17785,40315,24881,21.43261710512045,188,impa88d.xls
1988-05-01,85008,24656,38860,21492,29.004329004329005,186,impa88d.xls
1988-06-01,84715,19818,41487,23410,23.393731924688662,179,impa88d.xls
1988-07-01,87811,19379,44139,24293,22.068989078817005,175,impa88d.xls
1988-08-01,86286,18850,50033,17403,21.845954152469695,180,impa88d.xls
1988-09-01,85824,21535,44481,19808,25.09204884414616,163,impa88d.xls
1988-10-01,87623,18762,43106,25755,21.412186298118073,182,impa88d.xls
1988-11-01,82718,17726,47943,17049,21.429434947653473,164,impa88d.xls
1988-12-01,84533,17967,44753,21813,21.254421350241916,147,impa88d.xls
1989-01-01,105337,20734,51096,33507,19.683492030340716,201,impa89d.xls
1989-02-01,80771,15786,45076,19909,19.5441433187654,156,impa89d.xls
1989-03-01,82637,19228,43331,20078,23.268027638951075,158,impa89d.xls
1989-04-01,102172,23316,52102,26754,22.82034216810868,208,impa89d.xls
1989-05-01,99477,22025,53127,24325,22.14079636498889,198,impa89d.xls
1989-06-01,96870,17684,59924,19262,18.255393826778157,196,impa89d.xls
1989-07-01,109423,17079,63917,28427,15.60823592846111,201,impa89d.xls
1989-08-01,113663,23992,61976,27695,21.108012281921116,219,impa89d.xls
1989-09-01,93731,17460,53246,23025,18.6277752291131,184,impa89d.xls
1989-10-01,103770,21645,59901,22224,20.85862966175195,203,impa89d.xls
1989-11-01,104221,19106,63642,21473,18.332197925562028,194,impa89d.xls
1989-12-01,87122,17238,49852,20032,19.78604715226923,161,impa89d.xls
1990-01-01,107706,21688,61437,24581,20.13629695652981,193,impa90d.xls
1990-02-01,85691,17357,49071,19263,20.25533603295562,157,impa90d.xls
1990-03-01,101208,19914,57619,23675,19.676310173108845,188,impa90d.xls
1990-04-01,98685,16949,56416,25320,17.174849267872524,193,impa90d.xls
1990-05-01,115396,21820,60409,33167,18.9088009983015,218,impa90d.xls
1990-06-01,108219,22966,55862,29391,21.221781757362386,199,impa90d.xls
1990-07-01,116637,20378,72353,23906,17.471299844817683,216,impa90d.xls
1990-08-01,114382,17899,68924,27559,15.648441188298857,223,impa90d.xls
1990-09-01,95161,23587,53689,17885,24.786414602620823,178,impa90d.xls
1990-10-01,81601,25440,41075,15086,31.176088528326858,152,impa90d.xls
1990-11-01,85972,23347,51030,11595,27.156516075001164,160,impa90d.xls
1990-12-01,77369,20753,45700,10916,26.823404722821802,141,impa90d.xls
1991-01-01,94008,24419,56205,13384,25.97544889796613,172,impa91d.xls
1991-02-01,82914,19692,52231,10991,23.74990954482958,139,impa91d.xls
1991-03-01,86375,24459,48184,13732,28.317221418234443,155,impa91d.xls
1991-04-01,90542,17860,57886,14796,19.72565218351704,152,impa91d.xls
1991-05-01,106152,19805,59338,27009,18.657208531162862,177,impa91d.xls
1991-06-01,101665,23952,58458,19255,23.55973048738504,169,impa91d.xls
1991-07-01,103201,19458,59240,24503,18.854468464452864,172,impa91d.xls
1991-08-01,113350,22169,69525,21656,19.55800617556242,184,impa91d.xls
1991-09-01,100634,24886,60819,14929,24.729216765705427,168,impa91d.xls
1991-10-01,100991,25803,49308,25880,25.549801467457495,193,impa91d.xls
1991-11-01,93526,23570,58858,11098,25.201548232577036,150,impa91d.xls
1991-12-01,93315,22101,55265,15949,23.684295129400418,151,impa91d.xls
1992-01-01,100586,21429,65053,14104,21.304157636251567,164,impa92d.xls
1992-02-01,82222,22153,51307,8762,26.942910656515288,138,impa92d.xls
1992-03-01,89515,25797,53605,10113,28.818633748533767,169,impa92d.xls
1992-04-01,102556,22676,63745,16135,22.110846756893796,170,impa92d.xls
1992-05-01,103553,28290,55925,19338,27.31934371770977,181,impa92d.xls
1992-06-01,99287,23438,54566,21283,23.60631301177395,188,impa92d.xls
1992-07-01,115256,26116,69619,19521,22.659124036926492,205,impa92d.xls
1992-08-01,110487,26295,64488,19704,23.799179994026446,202,impa92d.xls
1992-09-01,105872,31410,54760,19702,29.66790086141756,210,impa92d.xls
1992-10-01,117228,31471,63187,22570,26.84597536424745,223,impa92d.xls
1992-11-01,103229,27513,61703,14013,26.6523941915547,203,impa92d.xls
1992-12-01,103734,27413,60972,15349,26.42624404727476,185,impa92d.xls
1993-01-01,114080,34588,62786,16706,30.31907433380084,239,impa93d.xls
1993-02-01,98535,30052,57249,11234,30.498807530319176,184,impa93d.xls
1993-03-01,112110,32210,64777,15123,28.73071090892873,213,impa93d.xls
1993-04-01,118152,32230,68855,17067,27.278421016995058,206,impa93d.xls
1993-05-01,111854,30627,64425,16802,27.38122910222254,212,impa93d.xls
1993-06-01,114272,28714,70167,15391,25.12776533183982,209,impa93d.xls
1993-07-01,123183,33984,69104,20095,27.588222400818296,229,impa93d.xls
1993-08-01,112934,36165,55510,21259,32.02312855296014,219,impa93d.xls
1993-09-01,107993,33806,58706,15481,31.30388080708935,201,impa93d.xls
1993-10-01,117589,38442,58930,20217,32.691833419792665,224,impa93d.xls
1993-11-01,116439,38849,58216,19374,33.3642508094367,225,impa93d.xls
1993-12-01,116399,33101,66520,16778,28.437529532040653,210,impa93d.xls
